Genetic_ID	Master_ID	Skeletal_code	Skeletal_element	Year_data	Publication	Method_for	Date_mean	Date_standard	Full_Date	Age_at	Group_ID	Locality	Political_Entity	Lat.	Long.	Pulldown_Strategy	Data_source	No._Libraries	1240k_coverage	SNPs_hit_1240k	SNPs_hit_HO	Molecular_Sex	Family_ID	Y_haplogroup_terminal	Y_haplogroup_ISOGG_curation	mtDNA_coverage	mtDNA_haplogroup	mtDNA_match	Damage_rate	Sex_ratio	Library_type	Libraries	ASSESSMENT	ASSESSMENT_WARNINGS	Unnamed:_35
I20678	I20678	DNA_code = PJ046, Code_on_bag = HP2BA770 BD 12085, Area=BA, Context=770, Grave=132	petrous	2022	GretzingerNature2022	Context: Archaeological - Period	1450	58	400-600 CE	..	England_EarlyMedieval_Saxon	England, North Yorkshire, Vale of Pickering, West Heslerton	United Kingdom	54.170989	-0.605739	Repulldown on 3.2M snpset	1240K	1	1.478	706228	381803	F	n/a (no relatives detected)	n/a (female)	n/a (female)	82.99	U5a1b3	[0.979,0.997]	0.196	0.009	ss.half	S20678.E1.L1	PASS	..	
I0161	I0161	Hinxton12885, skeleton355, HS3 (skeleton 355, HS3)	tooth	2016	GretzingerNature2022 (new version of individual previously published in SchiffelsNatureCommunications2016)	Direct: IntCal20	1157	54	686-883 calCE (1230±25 BP, OxA-29572)	..	England_EarlyMedieval_Saxon	England, South Cambridgeshire, East Anglia, Hinxton	United Kingdom	52.08	0.18	Repulldown on 3.2M snpset	1240K	2	1.297	744491	412885	F	n/a (no relatives detected)	n/a (female)	n/a (female)	592.496107	J2a1a1a	[0.99,0.999]	..	..	ds.plus,ds.plus	S0270.L1,S1225.L1	PASS	..	
I0531	I0531	NBS03:325	bone	2022	GretzingerNature2022	Context: Archaeological - Period	1250	115	500-900 CE	..	England_EarlyMedieval_Saxon	England, Yorkshire, Teeside, Norton	United Kingdom	53.633	-1.175	Repulldown on 3.2M snpset	1240K	1	0.181	188501	122669	F	n/a (no relatives detected)	n/a (female)	n/a (female)	103.220774	I2c	[0.982,0.996]	0.084	..	ds.half	S0531.E1.L1	PASS	..	
I0773	I0773	Oakington15569, Grave95(1870), O2 (Grave 95(1870), O2)	tooth	2016	GretzingerNature2022 (new version of individual previously published in SchiffelsNatureCommunications2016)	Direct: IntCal20	1479	43	406-543 calCE (1620±30 BP, Beta-397732)	..	England_EarlyMedieval_Saxon	England, South Cambridgeshire, Oakington	United Kingdom	52.26136	0.06869	Repulldown on 3.2M snpset	1240K	1	2.22	838364	492567	F	n/a (no relatives detected)	n/a (female)	n/a (female)	474	H1g1	[0.991,0.997]	0.125	0.009	ds.half	S0773.L1	PASS	..	
I20597	I20597	AD10	bone	2022	GretzingerNature2022	Context: Archaeological - Period	1380	6	560-580 CE	..	England_EarlyMedieval_Saxon	West Sussex, Chichester, Apple Down	United Kingdom	..	..	Repulldown on 3.2M snpset	1240K	1	0.044	41322	22160	F	n/a (no relatives detected)	n/a (female)	n/a (female)	9.077	H5b1	[0.957,0.999]	0.064	0.013	ss.half	S20597.E1.L1	PASS	damage.ss.half=0.064	
I20598	I20598	AD13	bone	2022	GretzingerNature2022	Context: Archaeological - Period	1409	53	450-633 CE	..	England_EarlyMedieval_Saxon	West Sussex, Chichester, Apple Down	United Kingdom	..	..	Repulldown on 3.2M snpset	1240K	1	0.016	16318	8721	F	n/a (no relatives detected)	n/a (female)	n/a (female)	20.38	H1a1	[0.989,1.000]	0.098	0.017	ss.half	S20598.E1.L1	PASS	damage.ss.half=0.098	
I20601	I20601	AD93	bone	2022	GretzingerNature2022	Context: Archaeological - Period	1425	43	450-600 CE	..	England_EarlyMedieval_Saxon	West Sussex, Chichester, Apple Down	United Kingdom	..	..	Repulldown on 3.2M snpset	1240K	1	0.055	55037	29532	F	n/a (no relatives detected)	n/a (female)	n/a (female)	12.02	H1ag1	[0.947,0.990]	0.079	0.008	ss.half	S20601.E1.L1	PASS	damage.ss.half=0.079	
I20603	I20603	AD113	bone	2022	GretzingerNature2022	Context: Archaeological - Period	1300	29	600-700 CE	..	England_EarlyMedieval_Saxon	West Sussex, Chichester, Apple Down	United Kingdom	..	..	Repulldown on 3.2M snpset	1240K	1	0.036	34895	18685	M	n/a (no relatives detected)	..	..	22.21	T2b+150	[0.965,0.990]	0.092	0.369	ss.half	S20603.E1.L1	PASS	damage.ss.half=0.092	
I20605	I20605	AD137b	bone	2022	GretzingerNature2022	Context: Archaeological - Period	1450	58	400-600 CE	..	England_EarlyMedieval_Saxon	West Sussex, Chichester, Apple Down	United Kingdom	..	..	Repulldown on 3.2M snpset	1240K	1	0.197	181315	97136	F	n/a (no relatives detected)	n/a (female)	n/a (female)	120	T2c1d+152	[0.994,1.000]	0.118	0.008	ss.half	S20605.E1.L1	PASS	..	
I20607	I20607	AD145	bone	2022	GretzingerNature2022	Context: Archaeological - Period	1400	29	500-600 CE	..	England_EarlyMedieval_Saxon	West Sussex, Chichester, Apple Down	United Kingdom	..	..	Repulldown on 3.2M snpset	1240K	1	0.22	201677	107995	M	n/a (no relatives detected)	..	..	236.4	K1a4d	[0.981,0.994]	0.139	0.414	ss.half	S20607.E1.L1	PASS	..	
I20608	I20608	AD152	bone	2022	GretzingerNature2022	Direct: IntCal20	1383	30	442-637 calCE (1513±25 BP, OxA-28869)	..	England_EarlyMedieval_Saxon	West Sussex, Chichester, Apple Down	United Kingdom	..	..	Repulldown on 3.2M snpset	1240K	1	0.114	103554	55575	M	n/a (no relatives detected)	..	..	37.36	I1	[0.961,0.984]	0.07	0.4	ss.half	S20608.E1.L1	PASS	damage.ss.half=0.070	
I3044	I3044	SB 360B2	petrous	2022	GretzingerNature2022	Direct: IntCal20	856	38	1027-1154 calCE (967±17 BP, SUERC-54024)	..	England_EarlyMedieval_Saxon	England, Lincolnshire, Lincoln, Lincoln Castle	United Kingdom	53.234533	-0.540804	Repulldown on 3.2M snpset	1240K	1	2.497	734288	402151	M	n/a (no relatives detected)	..	..	488	U4a1b	[0.980,0.990]	0.095	0.433	ds.half	S3044.L1	PASS	batch.flag	
I20648_d	I20648	DNA_code = PJ017, Code_on_bag = HP1B10, Area=B, Context=10, Grave=23	petrous	2022	GretzingerNature2022	Context: Archaeological - Period	1450	58	400-600 CE	..	England_EarlyMedieval_Saxon_lc	England, North Yorkshire, Vale of Pickering, West Heslerton	United Kingdom	54.170989	-0.605739	Repulldown on 3.2M snpset	1240K	1	0.013	14133	7515	F	n/a (no relatives detected)	n/a (female)	n/a (female)	1.537148	n/a (<2x)	n/a (<2x)	0.974	0.013	ss.half	S20648.E1.L1	PASS	mtcontam=[0.747,0.968]	
I20600	I20600	AD68	bone	2022	GretzingerNature2022	Context: Archaeological - Period	1409	53	450-633 CE	..	England_EarlyMedieval_Saxon_lc	West Sussex, Chichester, Apple Down	United Kingdom	..	..	Repulldown on 3.2M snpset	1240K	1	0.006	5629	2977	M	n/a (no relatives detected)	..	..	4.176	U5a2d	[0.867,0.970]	0.086	0.353	ss.half	S20600.E1.L1	PASS	damage.ss.half=0.086, mtcontam=[0.867,0.97]	
I20651_d	I20651	PJ020	petrous	2022	GretzingerNature2022	Context: Archaeological - Period	1450	58	400-600 CE	..	England_EarlyMedieval_Saxon_lc	England, North Yorkshire, Vale of Pickering, West Heslerton	United Kingdom	54.170989	-0.605739	Repulldown on 3.2M snpset	1240K	1	0.007	8008	4152	F	n/a (no relatives detected)	n/a (female)	n/a (female)	0.523387	n/a (<2x)	n/a (<2x)	0.975	0	ss.half	S20651.E1.L1	PASS	mtcontam=[0.674,0.969]	
I11033	I11033	Sk89 (5.37.12, <16493>)	petrous	2021	PattersonNature2021	Direct: IntCal20	2421	69	717-395 calBCE (2385±29 BP, SUERC-78046)	..	England_EastYorkshire_EIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	1	4.445546	803498	429919	F	n/a (no relatives detected)	n/a (female)	n/a (female)	724.2	H2a3b	[0.984,0.999]	0.092	0.007	ds.half	S11033.E1.L1	PASS	..	
I14106	I14106	Sk63 (5.37.12, <16159>)	petrous	2021	PattersonNature2021	Direct: IntCal20	2045	47	176 calBCE - 6 calCE (2082±29 BP, SUERC-78041)	..	England_EastYorkshire_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	1	2.168841	685172	371077	F	n/a (no relatives detected)	n/a (female)	n/a (female)	238.8	K1c1a	[0.963,0.982]	0.118	0.007	ss.half	S14106.Y1.E1.L1	PASS	..	
I22057	I22057	ECP09 SK4287	petrous	2021	PattersonNature2021	Direct: IntCal20	1970	40	104 calBCE - 65 calCE (2031±27 BP, SUERC-52029)	..	England_EastYorkshire_LIA	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 16)	United Kingdom	54.12647222	-0.287966667	Repulldown on 3.2M snpset	1240K	1	5.445	783891	434189	F	n/a (no relatives detected)	n/a (female)	n/a (female)	89.56	H2a1k	[0.984,0.997]	0.126	0.017	ds.half	S22057.Y1.E1.L1	PASS	..	
I22062	I22062	SKP06 SK686AA	petrous	2021	PattersonNature2021	Direct: IntCal20	1930	44	50 calBCE - 116 calCE (1997±31 BP, SUERC-52038)	..	England_EastYorkshire_LIA	England, East Riding of Yorkshire, Thornholme, Town Pasture	United Kingdom	54.05587222	-0.307591667	Repulldown on 3.2M snpset	1240K	1	2.989	787101	433812	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	149.2	K1a+195	[0.986,0.998]	0.073	0.428	ds.half	S22062.Y1.E1.L1	PASS	..	
I22064	I22064	ECP09 SK4295	petrous	2021	PattersonNature2021	Direct: IntCal20	1971	41	105 calBCE - 64 calCE (2032±27 BP, SUERC-52030)	..	England_EastYorkshire_LIA	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 16)	United Kingdom	54.12647222	-0.287966667	Repulldown on 3.2M snpset	1240K	1	6.384	767472	425956	F	n/a (no relatives detected)	n/a (female)	n/a (female)	79.83	H4a1a3a	[0.988,0.999]	0.117	0.017	ds.half	S22064.Y1.E1.L1	PASS	..	
I5502	I5502	Nunburnholme 14 (barrow D)	petrous	2021	PattersonNature2021	Direct: IntCal20	2054	50	196-4 calBCE (2090±30 BP, Beta-520210)	..	England_EastYorkshire_LIA	England, East Riding of Yorkshire, Nunburnholme Wold	United Kingdom	53.916717	-0.666972	Repulldown on 3.2M snpset	1240K	1	4.749	835229	451187	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	141	H3	[0.998,1.000]	0.123	0.421	ds.half	S5502.E1.L1	PASS	..	
I14100	I14100	Sk26 (5.37.12)	petrous	2021	PattersonNature2021	Direct: IntCal20	2302	58	409-229 calBCE (2302±29 BP, SUERC-78040)	..	England_EastYorkshire_MIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	1	2.821999	716230	389039	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	356.8	J1c9	[0.977,0.994]	0.11	0.403	ss.half	S14100.Y1.E1.L1	PASS	..	
I22055	I22055	ECP09 SK2505	petrous	2021	PattersonNature2021	Direct: IntCal20	2237	56	391-201 calBCE (2239±31 BP, SUERC-52014)	..	England_EastYorkshire_MIA	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 16)	United Kingdom	54.12647222	-0.287966667	Repulldown on 3.2M snpset	1240K	1	6.512	796139	440650	F	n/a (no relatives detected)	n/a (female)	n/a (female)	80.45	K1b1a1c1	[0.964,0.986]	0.128	0.017	ds.half	S22055.Y1.E1.L1	PASS	..	
I22056	I22056	ECP09 SK2504	petrous	2021	PattersonNature2021	Direct: IntCal20	2238	56	391-201 calBCE (2241±31 BP, SUERC-52013)	..	England_EastYorkshire_MIA	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 16)	United Kingdom	54.12647222	-0.287966667	Repulldown on 3.2M snpset	1240K	1	5.848	778615	431501	F	n/a (no relatives detected)	n/a (female)	n/a (female)	99.76	H4a1a3a	[0.973,0.991]	0.121	0.012	ds.half	S22056.Y1.E1.L1	PASS	..	
I0527	I0527	OSA04:1823	bone	2021	PattersonNature2021	Context: Archaeological - Period	2175	101	400-50 BCE	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.725076	-0.523009	Repulldown on 3.2M snpset	1240K	2	0.035672	40885	21863	F	n/a (no relatives detected)	n/a (female)	n/a (female)	15.963848	U2e1e	[0.976,0.999]	..	..	ds.half,ds.half	S0527.E1.L1,S0527.E1.L3	PASS	..	
I11034	I11034	Sk90 (5.37.12, <16552>)	petrous	2021	PattersonNature2021	Context: Archaeological - Period	2175	101	400-50 BCE	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	1	3.426877	779468	415140	F	n/a (no relatives detected)	n/a (female)	n/a (female)	822.1	H2a3b	[0.967,0.988]	0.106	0.007	ds.half	S11034.E1.L1	PASS	..	
I13755	I13755	Sk100 (5.37.12)	petrous	2021	PattersonNature2021	Context: Archaeological - Period	2175	101	400-50 BCE	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	1	0.540242	413121	221962	F	n/a (no relatives detected)	n/a (female)	n/a (female)	66.24	H2a3b	[0.965,0.986]	0.074	0.009	ss.half	S13755.Y1.E1.L1	PASS	damage.ss.half=0.074	
I13760	I13760	Sk142 (5.37.12, <18164>)	petrous	2021	PattersonNature2021	Context: Archaeological - Period	2175	101	400-50 BCE	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	1	1.054656	623614	335010	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	135.7	H2a3b	[0.979,0.997]	0.115	0.391	ss.half	S13760.Y1.E1.L1	PASS	..	
I14099	I14099	Sk11 (5.37.12)	petrous	2021	PattersonNature2021	Context: Archaeological - Period	2175	101	400-50 BCE	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	1	2.780538	732571	398465	F	n/a (no relatives detected)	n/a (female)	n/a (female)	314.9	H2a3b	[0.963,0.988]	0.093	0.006	ss.half	S14099.Y1.E1.L1	PASS	damage.ss.half=0.093	
I14101	I14101	Sk55 (5.37.12)	petrous	2021	PattersonNature2021	Context: Archaeological - Period	2175	101	400-50 BCE	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	1	2.532974	741126	402451	F	n/a (no relatives detected)	n/a (female)	n/a (female)	264.2	H2a3b	[0.980,0.997]	0.098	0.007	ss.half	S14101.Y1.E1.L1	PASS	damage.ss.half=0.098	
I14327	I14327	ECP09 SK4224	petrous	2021	PattersonNature2021	Direct: IntCal20	2081	62	340-47 calBCE (2113±29 BP, SUERC-52028)	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 16)	United Kingdom	54.12647222	-0.287966667	Repulldown on 3.2M snpset	1240K	1	3.851326	801836	442259	M	n/a (no relatives detected)	R-Y3267	R1b1a1b1a1a2a	287.7	H5	[0.965,0.990]	0.123	0.413	ds.half	S14327.Y1.E1.L1	PASS	..	
I22052	I22052	ECP09 SK4181	petrous	2021	PattersonNature2021	Direct: IntCal20	2104	72	344-52 calBCE (2128±27 BP, SUERC-52024)	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, East Coast Pipeline (field 16)	United Kingdom	54.12647222	-0.287966667	Repulldown on 3.2M snpset	1240K	1	6.75	797703	441552	F	n/a (no relatives detected)	n/a (female)	n/a (female)	108	U2e2a1a	[0.992,1.000]	0.115	0.016	ds.half	S22052.Y1.E1.L1	PASS	..	
I22060	I22060	ECP09 SK5214	petrous	2021	PattersonNature2021	Direct: IntCal20	2074	66	343-1 calBCE (2105±35 BP, SUERC-33543)	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, East Coast Pipeline (field 9)	United Kingdom	54.09468889	-0.281613889	Repulldown on 3.2M snpset	1240K	1	5.22	825402	455741	M	n/a (no relatives detected)	R-Z2961	R1b1a1b1a1a2c1a1a1a1a	139.2	H4a1a3a	[0.975,0.992]	0.092	0.437	ds.half	S22060.Y1.E1.L1	PASS	Xcontam=[0.005,0.009]	
I22065	I22065	BTR16 SK427	petrous	2021	PattersonNature2021	Direct: IntCal20	2149	82	351-55 calBCE (2147±24 BP, SUERC-80670)	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Burstwick	United Kingdom	53.734309	-0.141121	Repulldown on 3.2M snpset	1240K	1	3.61	801555	444076	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	67.85	H	[0.969,0.991]	0.051	0.423	ds.half	S22065.Y1.E1.L1	PASS	..	
I5503	I5503	Nunburnholme 15 (barrow BE)	petrous	2021	PattersonNature2021	Direct: IntCal20	2065	54	334-42 calBCE (2100±30 BP, Beta-516926)	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Nunburnholme Wold	United Kingdom	53.916717	-0.666972	Repulldown on 3.2M snpset	1240K	1	5.343	848852	460211	F	n/a (no relatives detected)	n/a (female)	n/a (female)	150	U5b1c2	[0.985,1.000]	0.083	0.008	ds.half	S5503.E1.L1	PASS	..	
I5504	I5504	Pocklington Skel No 110 (barrow #64, <16968>)	petrous	2021	PattersonNature2021	Context: Archaeological - Period	1350	115	400-800 CE	..	England_EastYorkshire_Anglian	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	8	0.055149	62498	33653	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	T1a1	..	..	0.017	ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half	S5504.E1.L1,S5504.E1.L2,S5504.E1.L3,S5504.E1.L4,S5504.E1.L9,S5504.E1.L7,S5504.E1.L6,S5504.E1.L8	PASS	damage.ds.half=0.031-0.08, mtmatchmax=0.966-1	
I5505	I5505	Pocklington Skel No 113 (<16990>) | Sk113 (5.37.12)	petrous	2021	PattersonNature2021	Context: Archaeological - Period	2175	101	400-50 BCE	..	England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635	Repulldown on 3.2M snpset	1240K	2	3.670453	875478	474935	M	n/a (no relatives detected)	R-L21	R1b1a1b1a1a2c1	138.99831	V16	..	..	0.395391514	ds.half,ds.half	S5505.E1.L1,S21556.Y1.E1.L1	PASS	..	
I19220	I19220	ECP09 SK1707	tooth; tooth	2021	PattersonNature2021	Direct: IntCal20	3759	51	1894-1695 calBCE (3486±32 BP, SUERC-52008)	..	England_EBA	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 10)	United Kingdom	54.09805556	-0.282161111	Repulldown on 3.2M snpset	1240k	2	0.191492	180666	92933	F	n/a (no relatives detected)	n/a (female)	n/a (female)	20.379987	H3g1	..	0.016	0.016	ss.half,ss.half	S19220.Y1.E1.L1,S19220.Y1.E2.L1	PASS	..	
I27380	I27380	GENLAB 389 (Display skeleton)	petrous	2021	PattersonNature2021	Direct: IntCal20	4228	70	2453-2146 calBCE (3826±33 BP, SUERC-55526)	England_EBA_BellBeaker	England_EBA_BellBeaker	England, Sussex, Westbourne, 'Racton Man'	United Kingdom	50.872397	-0.89596028	Repulldown on 3.2M snpset	1240K	1	5.455	831058	458318	M	n/a (no relatives detected)	R-L21	R1b1a1b1a1a2c1	124.8	H3k1	[0.979,0.996]	0.129	0.438	ds.half	S27380.Y1.E1.L1	PASS	..	
I12935	I12935	TB 135, Sk 1066	petrous	2021	PattersonNature2021	Layer date from cattle tooth: 3769±27 BP (SUERC-80166; 2141–1962 cal BCE)- needs calibrating with IntCal20	4000	87	2200-1900 BCE	..	England_EBA_highEEF	England, Gloucestershire, Lechlade-on-Thames, Lechlade Memorial Hall/Skate Park	United Kingdom	51.697969	-1.692092	Repulldown on 3.2M snpset	1240K	1	1.535037	706806	386244	M	n/a (no relatives detected)	R-A11676	R1b1a1b1a1a2c1	267.1	H1ah2	[0.973,0.992]	0.123	0.561	ds.half	S12935.Y1.E1.L1	PASS	..	
I21306	I21306	GENLAB 45 (344; WESTM1990)	petrous	2021	PattersonNature2021	Direct: IntCal20	2147	82	351-54 calBCE (2146±24 BP, SUERC-104564)	..	England_LIA	England, Somerset, Tickenham, Diamond Cottage	United Kingdom	51.444607	-2.814359	Repulldown on 3.2M snpset	1240K	1	0.633	469338	259195	M	n/a (no relatives detected)	R-Y3470	R1b1a1b1a1a2a1a2	77.05	H1an1	[0.961,0.982]	0.105	0.407	ds.half	S21306.Y1.E3.L1	PASS	..	
I11149	I11149	GENLAB 72, F.268, Sk. 612, con. 278 (F.268; Sk. 612, con. 278)	petrous	2021	PattersonNature2021	Direct: IntCal20	2443	84	733-397 calBCE (2400±30 BP, Beta-471582)	..	England_EIA	England, Cambridgeshire, Teversham (Marshall's) Evaluation	United Kingdom	52.198919	0.180799	Repulldown on 3.2M snpset	1240K	1	4.883918	763419	413570	M	n/a (no relatives detected)	R-S264	R1b1a1b1a1a1c1	1439	V	[0.991,1]	0.1	0.424	ds.half	S11149.E1.L1	PASS	..	
I11154	I11154	GENLAB 78, F. 300, Sk. 904, cat. 4520 (F. 300; Sk. 904, cat. 4520)	petrous	2021	PattersonNature2021	Direct: IntCal20	2469	95	743-404 calBCE (2422±25 BP, SUERC-41925)	..	England_EIA	England, Cambridgeshire, Trumpington Meadows	United Kingdom	52.170279	0.105604	Repulldown on 3.2M snpset	1240K	1	4.519372	768541	413143	F	n/a (no relatives detected)	n/a (female)	n/a (female)	1602	H5a1	[0.992,1]	0.0905	0.01	ds.half	S11154.E1.L1	PASS	..	
I11995	I11995	GENLAB 39, 2209	petrous	2021	PattersonNature2021	Direct: IntCal20	2457	91	742-399 calBCE (2409±30 BP, SUERC-94992)	..	England_EIA	England, Somerset, South Cadbury, Cadbury Castle	United Kingdom	51.0128	-2.3152	Repulldown on 3.2M snpset	1240K	1	2.888032	823425	446248	F	n/a (no relatives detected)	n/a (female)	n/a (female)	590.7	H2a5	[0.962,0.986]	0.064	0.007	ds.half	S11995.E1.L1	PASS	..	
I12610	I12610	GENLAB 59; 1752; SF1119	tooth	2021	PattersonNature2021	Direct: IntCal20	2586	77	765-489 calBCE (2475±20 BP, PSUAMS-7611)	..	England_EIA	England, Wiltshire, Potterne, Blackberry Field	United Kingdom	51.330985	-2.050187	Repulldown on 3.2M snpset	1240K	3	0.062098	68003	36859	M	n/a (no relatives detected)	R-P297	R1b1a1	46.074416	J1c1	..	..	0.377864246	ds.half,ss.half,ss.half	S12610.Y1.E1.L1,S12610.Y1.E2.L1,S12610.Y1.E3.L1	PASS	..	
I12783	I12783	TB 111, Sk 1124	petrous	2021	PattersonNature2021	Direct: IntCal20	2599	73	783-541 calBCE (2510±29 BP, SUERC-80169)	..	England_EIA	England, Gloucestershire, Lechlade-on-Thames, Lechlade Memorial Hall/Skate Park	United Kingdom	51.697969	-1.692092	Repulldown on 3.2M snpset	1240K	1	1.77137	703574	384998	M	n/a (no relatives detected)	R-DF21	R1b1a1b1a1a2c1a5	347.6	J1c5	[0.987,0.998]	0.106	0.406	ds.half	S12783.Y1.E1.L1	PASS	Xcontam=[0.006,0.013]	
I12787	I12787	TB 115, Sk 1063	petrous	2021	PattersonNature2021	Direct: IntCal20	2391	52	539-387 calBCE (2362±29 BP, SUERC-80168)	..	England_EIA	England, Gloucestershire, Lechlade-on-Thames, Lechlade Memorial Hall/Skate Park	United Kingdom	51.697969	-1.692092	Repulldown on 3.2M snpset	1240K	1	1.31748	709080	389236	F	n/a (no relatives detected)	n/a (female)	n/a (female)	199.5	H2a2a1	[0.992,1.000]	0.127	0.008	ds.half	S12787.Y1.E1.L1	PASS	..	
I13682	I13682	GENLAB 17 (A422/M4)	tooth (molar)	2021	PattersonNature2021	Direct: IntCal20	2612	76	793-544 calBCE (2527±30 BP, SUERC-94972)	..	England_EIA	England, Somerset, Mells Down, Kingsdown Camp	United Kingdom	51.264052	-2.405024	Repulldown on 3.2M snpset	1240K	4	1.229148	727917	392369	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	102.265013	H5a1	[0.957,0.984]	0.098	0.405	ds.half,ds.half,ds.half,ds.half,ds.half	S13682.E1.L1,S13682.E1.L3,S13682.E1.L2,S13682.E1.L5,S13682.E1.L4	PASS	..	
I13684	I13684	GENLAB 21 (M12)	tooth (molar)	2021	PattersonNature2021	Direct: IntCal20	2408	63	541-391 calBCE (2373±30 BP, SUERC-94974)	..	England_EIA	England, Somerset, Meare Lake Village West	United Kingdom	51.176318	-2.796919	Repulldown on 3.2M snpset	1240K	4	2.024189	889192	477698	F	n/a (no relatives detected)	n/a (female)	n/a (female)	347.424347	W1+119	[0.901,0.94]	0.081	0.014	ds.half,ds.half,ds.half,ds.half,ds.half	S13684.E1.L1,S13684.E1.L3,S13684.E1.L2,S13684.E1.L4,S13684.E1.L5	PASS	..	
I13688	I13688	GENLAB 108, 57813 (ID 4002; Context 4001)	tooth (molar)	2021	PattersonNature2021	Direct: IntCal20	2589	76	775-516 calBCE (2492±28 BP, SUERC-41682)	adult , 18-25	England_EIA	England, Wiltshire, Rowbarrow	United Kingdom	51.052725	-1.7862875	Repulldown on 3.2M snpset	1240K	1	1.186504	668391	364812	F	n/a (no relatives detected)	n/a (female)	n/a (female)	359.9	H1+16239	[0.990,1.000]	0.114	0.01	ds.half	S13688.E1.L1	PASS	..	
I13689	I13689	GENLAB 110, 57814 (ID 4177; Context 4178)	tooth (molar)	2021	PattersonNature2021	Direct: IntCal20	2531	104	753-411 calBCE (2448±29 BP, SUERC-41684)	adult , 35-45	England_EIA	England, Wiltshire, Rowbarrow	United Kingdom	51.052725	-1.7862875	Repulldown on 3.2M snpset	1240K	1	1.480683	653675	359341	M	n/a (no relatives detected)	R-A11676	R1b1a1b1a1a2c1	830.9	K1a3a	[0.993,1.000]	0.118	0.415	ds.half	S13689.E1.L1	PASS	..	
I13690	I13690	GENLAB 113, 57814 (ID 4573; Context 4574)	tooth (molar)	2021	PattersonNature2021	Direct: IntCal20	2512	105	750-408 calBCE (2439±28 BP, SUERC-41691)	adult , 18-23	England_EIA	England, Wiltshire, Rowbarrow	United Kingdom	51.052725	-1.7862875	Repulldown on 3.2M snpset	1240K	1	0.013	15364	8320	M	n/a (no relatives detected)	F	F	58.91	H1b3	[0.990,0.999]	0.087	0.424	ds.half	S13690.E1.L1	PASS	..	
I14381	I14381	56950; 3656; GENLAB 260	petrous	2021	PattersonNature2021	Direct: IntCal20	2443	82	727-400 calBCE (2405±27 BP, OxA-18430)	adult , 20-35	England_EIA	England, Kent, Cliffs End Farm	United Kingdom	51.329195	1.3693088	Repulldown on 3.2M snpset	1240K	1	2.024583	721796	398571	F	n/a (no relatives detected)	n/a (female)	n/a (female)	226.3	U5b2b1a1	[0.979,0.994]	0.159	0.011	ds.half	S14381.Y1.E1.L1	PASS	..	
